i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
394,3012.7261296568186,394,0.5085714285714286,175,89,1.0,1,2058,1,0,0,1,1,0,0,1,1,1,1,1,1.0,0.5085714285714286,1.0,1.0,,
303,304.1192206347952,303,0.4943820224719101,178,88,1.0,4,426,1,0,0,1,1,0,0,1,1,0,1,1,1.0,0.4943820224719101,1.0,1.0,,
210,1628.0791379601455,210,0.7900552486187845,181,143,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.7900552486187845,1.7,1.5,,
306,1197.562906094102,306,0.9761904761904762,84,82,1.0,4,560,1,0,0,1,1,0,0,1,1,1,1,1,1.0,0.9761904761904762,1.0,1.0,,
390,1338.2937749425569,390,0.39669421487603307,121,48,1.0,3,1110,1,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,
26,1757.1134611075895,26,0.7636363636363637,55,42,2.7,3,1093,4,2,0,2,1,0,0,1,1,0,1,1,1.0,0.7636363636363637,2.7,2.1,,
369,3184.512497628487,369,0.7333333333333333,180,132,2.7,2,3640,4,2,2,0,1,0,0,1,1,0,0,1,0.0,0.7333333333333333,2.7,2.1,,
204,2052.363364004756,204,0.4666666666666667,210,98,1.5,3,1110,2,1,0,1,1,0,1,0,1,0,0,1,1.0,0.4666666666666667,1.5,1.3,,
308,5870.168505377214,308,0.6298342541436464,181,114,1.7,7,5765,2,0,0,2,1,1,1,0,1,1,1,1,1.0,0.6298342541436464,1.7,1.5,,
43,9879.927375754914,43,0.7942857142857143,175,139,2.7,2,3640,4,2,2,0,1,1,1,0,1,0,1,1,0.0,0.7942857142857143,2.7,2.1,,
181,2216.2339694864268,181,0.12299465240641712,187,23,2.7,1,1882,4,2,1,1,1,0,0,1,1,0,1,1,0.5,0.12299465240641712,2.7,2.1,,
450,1159.8110920004115,450,0.6127450980392157,204,125,2.7,1,2035,4,2,1,1,0,0,1,0,0,0,0,1,0.5,0.0,2.7,2.1,,
117,1745.9437730791124,117,0.6257309941520468,171,107,3.4,1,2035,5,2,2,1,1,0,0,1,1,0,1,1,0.3333333333333333,0.6257309941520468,3.4,2.6,,
363,2225.37697340752,363,0.5283018867924528,212,112,1.7,2,3564,2,0,0,2,0,0,1,0,0,1,1,1,1.0,0.0,1.7,1.5,,
332,1082.0523704033963,332,0.391304347826087,184,72,4.1,3,1093,6,2,0,4,1,0,0,1,1,0,1,1,1.0,0.391304347826087,4.1,3.1,,
297,1742.767618203423,297,0.43956043956043955,182,80,1.7,5,4603,2,0,2,0,1,0,0,1,1,0,0,1,0.0,0.43956043956043955,1.7,1.5,,
23,17616.69632538333,23,0.4835164835164835,182,88,3.1,7,7374,4,0,2,2,1,0,0,1,1,0,1,1,0.5,0.4835164835164835,3.0999999999999996,2.5,,
47,1292.5617471197595,47,0.5284552845528455,123,65,3.6,3,1093,5,1,3,1,1,0,0,1,1,0,0,1,0.25,0.5284552845528455,3.5999999999999996,2.8,,
444,3311.9960285022416,444,0.7267441860465116,172,125,3.2,1,2294,5,3,2,0,0,0,1,0,0,0,1,1,0.0,0.0,3.2,2.4,,
454,419.46889447179774,454,0.6797752808988764,178,121,2.2,4,426,3,1,0,2,0,0,1,0,0,0,0,1,1.0,0.0,2.2,1.8,,
138,819.2703298691579,138,0.803030303030303,132,106,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.803030303030303,1.7,1.5,,
94,460.6963538404616,94,0.6195652173913043,92,57,2.4,7,7374,3,0,3,0,1,1,0,1,1,0,1,1,0.0,0.6195652173913043,2.4,2.0,,
58,292.8204949972902,58,0.6209150326797386,153,95,3.6,4,426,5,1,0,4,1,0,0,1,1,0,1,1,1.0,0.6209150326797386,3.5999999999999996,2.8,,
155,740.8475853710092,155,0.7608695652173914,92,70,1.7,4,426,2,0,1,1,1,0,0,1,1,0,1,1,0.5,0.7608695652173914,1.7,1.5,,
25,2662.421635269807,25,0.9484536082474226,97,92,2.7,3,1093,4,2,0,2,1,0,0,1,1,0,1,1,1.0,0.9484536082474226,2.7,2.1,,
18,3975.6994975616626,18,0.7142857142857143,91,65,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,0,1,0.0,0.7142857142857143,2.7,2.1,,
67,856.3341771002073,67,0.8901098901098901,91,81,1.0,4,426,3,2,0,1,1,0,1,0,0,0,0,1,1.0,0.8901098901098901,2.0,1.6,,
412,1041.345825663288,412,0.5054347826086957,184,93,3.9,3,1093,6,3,1,2,1,0,0,1,1,0,1,1,0.6666666666666666,0.5054347826086957,3.9,2.9,,
321,319.96016504969595,321,0.9896907216494846,97,96,1.7,4,426,2,0,0,2,1,0,1,0,0,0,0,1,1.0,0.9896907216494846,1.7,1.5,,
32,3258.412517047576,32,0.6795580110497238,181,123,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.6795580110497238,1.7,1.5,,
85,245.92038435811605,85,0.6358974358974359,195,124,1.0,3,1110,1,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,1.0,1.0,,
315,4915.393401302679,315,0.7043010752688172,186,131,1.7,2,3705,2,0,1,1,1,0,0,1,1,0,0,1,0.5,0.7043010752688172,1.7,1.5,,
127,2320.116915756106,127,0.9130434782608695,184,168,3.1,3,1093,4,0,2,2,1,0,1,0,1,0,1,1,0.5,0.9130434782608695,3.0999999999999996,2.5,,
452,425.9476579572929,452,0.691358024691358,162,112,2.7,1,2035,4,2,1,1,0,0,1,0,0,0,0,1,0.5,0.0,2.7,2.1,,
359,22365.185055534963,359,0.6428571428571429,182,117,3.1,7,7374,4,0,2,2,1,1,1,0,1,0,1,1,0.5,0.6428571428571429,3.0999999999999996,2.5,,
95,7696.2700136568,95,0.8366013071895425,153,128,2.7,7,6395,4,2,2,0,1,1,1,0,1,0,1,1,0.0,0.8366013071895425,2.7,2.1,,
247,6260.858482342477,247,0.7650273224043715,183,140,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,1,1,0.0,0.7650273224043715,1.7,1.5,,
400,3855.7577887917605,400,0.5045871559633027,218,110,2.9,1,2187,4,1,1,2,1,0,0,1,1,0,0,1,0.6666666666666666,0.5045871559633027,2.9,2.3,,
392,293.5695317670114,392,0.3641304347826087,184,67,3.0,3,1003,5,4,0,1,0,0,1,0,0,0,0,1,1.0,0.0,3.0,2.2,,
407,2015.729895087809,407,0.7011494252873564,174,122,1.5,3,1110,2,1,0,1,0,0,1,0,0,0,0,1,1.0,0.0,1.5,1.3,,
240,1595.0028454603957,240,0.554945054945055,182,101,2.9,4,564,4,1,1,2,0,0,1,0,0,0,0,1,0.6666666666666666,0.0,2.9,2.3,,
105,6439.276772960757,105,0.6685714285714286,175,117,3.8,7,6149,5,0,1,4,1,0,1,0,1,0,1,1,0.8,0.6685714285714286,3.8,3.0,,
379,2540.708919037284,379,0.7597765363128491,179,136,2.7,6,1651,4,2,2,0,1,1,1,0,1,0,1,1,0.0,0.7597765363128491,2.7,2.1,,
6,2146.2463432499385,6,0.8054054054054054,185,149,5.3,3,1093,8,3,1,4,0,0,1,0,0,0,0,1,0.8,0.0,5.3,3.9,,
46,959.6002668428915,46,0.17222222222222222,180,31,3.6,3,1093,5,1,3,1,1,0,0,1,1,0,0,1,0.25,0.17222222222222222,3.5999999999999996,2.8,,
182,4566.412688169947,182,0.3651685393258427,178,65,2.7,1,1882,4,2,1,1,1,0,0,1,1,0,1,1,0.5,0.3651685393258427,2.7,2.1,,
132,5940.120755541956,132,0.47023809523809523,168,79,2.7,2,3550,4,2,1,1,1,0,1,0,1,0,1,1,0.5,0.47023809523809523,2.7,2.1,,
396,1004.7734347191317,396,0.5470588235294118,170,93,1.0,1,2058,1,0,0,1,1,0,0,1,1,1,1,1,1.0,0.5470588235294118,1.0,1.0,,
355,2752.726622887267,355,0.4708994708994709,189,89,1.7,1,2067,2,0,1,1,1,0,0,1,1,0,1,1,0.5,0.4708994708994709,1.7,1.5,,
17,4208.714640359627,17,0.6986301369863014,73,51,2.7,1,2146,4,2,2,0,1,0,0,1,1,0,0,1,0.0,0.6986301369863014,2.7,2.1,,
