menage,assaini,revenu_net_mois,c_m3_trim_1,c_m3_trim_2,c_ibt,c_ibt_pp,c_tbse,consom_nordin_trim,consom_taylor_trim,c_captive_jour,c_nordin_jour,c_taylor_jour,ln_c_captive_jour,ln_c_nordin_jour,ln_c_taylor_jour,sur_consommation_pct
34,0,809.45,30.255871993712443,25.52999959934083,52.405371250163704,49.438456217823465,67.75540961591626,49.438456217823465,54.880659462088595,0.3361763554856938,0.5493161801980385,0.6097851051343177,3.4096902811335017,-0.599081083036,-0.49464867054735767,10.443241248864238
38,0,1561.38,21.832881384157947,18.304438453658378,45.11070721233396,41.99345299453818,57.759719493411914,41.99345299453818,47.852199651048416,0.2425875709350883,0.46659392216153533,0.5316911072338713,3.083417153796618,-0.7622959452800397,-0.6316925837689968,13.060336151104291
39,0,313.79,23.031944209022576,18.304438453658378,33.089215997501576,30.0,40.37017254969116,30.0,36.26956515247607,0.25591049121136195,0.3333333333333333,0.4029951683608452,3.136882130982461,-1.0986122886681098,-0.908830706286369,18.978158238174082
40,0,1180.08,21.60544693212367,18.304438453658378,41.91184364927744,38.76270717480089,53.24935120605715,38.76270717480089,44.766827141885415,0.24006052146804077,0.43069674638667654,0.4974091904653935,3.0729454556834104,-0.8423510411956101,-0.6983422707722852,14.400877042332494
41,0,1875.59,19.01513515426124,15.067201826527109,41.463990291223226,38.28109546999183,52.68769011985177,38.28109546999183,44.365878612408586,0.21127927949179157,0.4253455052221315,0.49295420680453983,2.9452352491257354,-0.8548534868615659,-0.7073389960599007,14.751449080166523
42,0,584.51,19.89811278208949,15.067201826527109,33.29159896297456,30.00048449355357,40.99695931658742,30.00048449355357,36.694185254077276,0.22109014202321656,0.33333871659503966,0.4077131694897475,2.990624892162437,-1.0985961390133971,-0.8971913677660728,20.140477124732435
44,0,5626.47,20.067251974472164,13.534350885107655,56.17763344212294,53.12980853887344,73.28130722828416,53.12980853887344,58.67646383800551,0.22296946638302403,0.5903312059874827,0.6519607093111723,2.999089231384348,-0.5270715335088877,-0.42777098066397934,9.930055284490836
45,0,272.44,19.197408436404338,16.816152255511735,28.313263415079685,26.84535631895824,32.41470666938834,26.84535631895824,29.513041035543264,0.2133045381822704,0.29828173687731374,0.32792267817270293,2.9547752926528768,-1.2097168133473877,-1.114977435666738,9.473937768064978
46,0,959.6,17.92259290646554,16.816152255511735,33.86356233173089,30.546735023921254,41.91341340488593,30.546735023921254,37.256375103585405,0.19913992118295043,0.3394081669324584,0.41395972337317116,2.8860620905208556,-1.0805518636180744,-0.8819865964276988,19.85652671903756
47,0,1292.56,20.447657404565124,16.816152255511735,40.70123013938319,37.52454197984745,51.57144707486455,37.52454197984745,43.62109463789131,0.22719619338405694,0.41693935533163834,0.48467882930990347,3.017868323583186,-0.8748144986188089,-0.7242688150094037,15.054568360940523
50,0,529.71,19.501256464134777,16.86483970153737,32.51761802843801,30.0,39.173935479211764,30.0,35.078247948896845,0.2166806273792753,0.3333333333333333,0.3897583105432983,2.97047889755211,-1.0986122886681098,-0.9422284485177657,15.638384015034411
