i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
77,2192.5179802893495,77,0.625,152,95,2.7,3,1093,4,2,2,0,1,0,0,1,1,0,1,1
78,1666.8348602070075,78,0.6966292134831461,178,124,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1
79,678.6799842147329,79,0.8430232558139535,172,145,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1
80,1030.9638412108034,80,0.7135416666666666,192,137,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1
81,4066.277677804858,81,0.39285714285714285,196,77,1.7,5,1587,2,0,0,2,1,0,0,1,0,1,1,1
82,4532.127885152764,82,0.5093167701863354,161,82,1.7,5,1587,2,0,0,2,1,0,0,1,0,1,1,1
83,794.9181803922833,83,0.2786885245901639,183,51,1.7,5,1587,2,0,0,2,1,0,0,1,0,1,1,1
84,1309.8294868817072,84,0.782608695652174,161,126,1.0,3,1110,1,0,1,0,0,0,1,0,0,0,0,1
85,245.92038435811605,85,0.6358974358974359,195,124,1.0,3,1110,1,0,1,0,0,0,1,0,0,0,0,1
86,1749.5537297003088,86,0.7595628415300546,183,139,2.9,3,1110,4,1,3,0,1,0,0,1,1,0,1,1
87,270.89780566958575,87,0.5469613259668509,181,99,2.9,3,1110,4,1,3,0,1,0,0,1,1,0,1,1
88,1299.4854708768787,88,0.6222222222222222,180,112,2.9,3,1110,4,1,3,0,1,0,0,1,1,0,1,1
89,1066.0509680189825,89,0.4431818181818182,176,78,2.9,4,548,4,1,0,3,1,0,0,1,1,0,1,1
90,465.68739056024526,90,0.3567567567567568,185,66,2.9,4,548,4,1,0,3,1,0,0,1,1,0,1,1
91,384.86695757200437,91,0.6219512195121951,164,102,2.9,4,548,4,1,0,3,1,0,0,1,1,0,1,1
92,3534.6604392572885,92,0.33035714285714285,112,37,2.4,7,7374,3,0,3,0,1,1,0,1,1,0,1,1
93,13099.174899304455,93,0.5555555555555556,99,55,2.4,7,7374,3,0,3,0,1,1,0,1,1,0,1,1
94,460.6963538404616,94,0.6195652173913043,92,57,2.4,7,7374,3,0,3,0,1,1,0,1,1,0,1,1
95,7696.2700136568,95,0.8366013071895425,153,128,2.7,7,6395,4,2,2,0,1,1,1,0,1,0,1,1
96,445.5551759222453,96,0.575,120,69,2.7,7,6395,4,2,2,0,1,1,1,0,1,0,1,1
97,2508.6043644257074,97,0.5041322314049587,121,61,2.7,7,6395,4,2,2,0,1,1,1,0,1,0,1,1
98,767.3120140189681,98,0.5862068965517241,203,119,2.2,4,560,3,1,0,2,1,0,1,0,1,1,1,1
99,920.7995099569957,99,0.6187845303867403,181,112,2.2,4,560,3,1,0,2,1,0,1,0,1,1,1,1
100,727.9370394948055,100,0.80625,160,129,2.2,4,560,3,1,0,2,1,0,1,0,1,1,1,1
101,1438.8526196441294,101,0.9484536082474226,97,92,1.7,6,4603,2,0,1,1,1,1,1,0,1,0,1,1
102,5561.198631784705,102,0.7636363636363637,55,42,1.7,6,4603,2,0,1,1,1,1,1,0,1,0,1,1
103,3842.1747373744192,103,0.5333333333333333,60,32,1.7,6,4603,2,0,1,1,1,1,1,0,1,0,1,1
104,3226.8026124211447,104,0.6702127659574468,188,126,3.8,7,6149,5,0,1,4,1,0,1,0,1,0,1,1
105,6439.276772960757,105,0.6685714285714286,175,117,3.8,7,6149,5,0,1,4,1,0,1,0,1,0,1,1
106,401.5379057648038,106,0.4175824175824176,182,76,2.9,6,2848,4,1,2,1,1,1,0,1,1,0,0,1
107,1921.3219797084544,107,0.5409836065573771,183,99,2.9,6,2848,4,1,2,1,1,1,0,1,1,0,0,1
108,3714.2843417507065,108,0.4369369369369369,222,97,2.9,6,2848,4,1,2,1,1,1,0,1,1,0,0,1
109,2343.9000057918565,109,0.6735537190082644,242,163,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1
110,6436.558481878238,110,0.5,212,106,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1
111,13133.364213449267,111,0.7581699346405228,153,116,2.7,7,7374,4,2,2,0,1,0,0,1,1,0,1,1
112,1766.5881320538679,112,0.6805555555555556,144,98,1.0,3,1106,1,0,0,1,1,0,1,0,1,1,0,1
113,2469.8154700378886,113,0.7348066298342542,181,133,1.0,3,1106,1,0,0,1,1,0,1,0,1,1,0,1
